game_id,competition_id,season,home_club_id,away_club_id,home_club_goals,away_club_goals,home_club_position,away_club_position
3839388,L1,2022,39,18,4,0,8,10
3839411,L1,2022,27,167,5,3,1,13
3839435,L1,2022,80,23826,1,0,14,5
3839465,L1,2022,16,89,2,1,2,3
3839549,L1,2022,89,60,4,2,4,5
3839564,L1,2022,27,23826,1,3,2,3
3839582,L1,2022,16,39,2,2,2,9
3840034,FR1,2022,244,273,1,1,2,8
3840070,FR1,2022,1420,273,1,2,20,4
3840076,FR1,2022,1421,290,2,1,14,18
3840083,FR1,2022,1041,1082,1,0,8,7
3840088,FR1,2022,273,969,3,0,3,14
3840092,FR1,2022,1158,583,1,2,6,1
3840105,FR1,2022,826,3524,2,1,2,10
3840122,FR1,2022,1082,1421,1,1,7,10
3840138,FR1,2022,1095,244,0,2,13,3
3840141,FR1,2022,1082,1095,5,1,6,14
3840154,FR1,2022,244,162,1,1,3,4
3840165,FR1,2022,826,417,0,1,3,8
3840171,FR1,2022,3524,162,0,2,11,4
3840191,FR1,2022,417,1421,0,0,8,10
3840196,FR1,2022,273,3524,2,0,5,12
3840206,FR1,2022,969,826,1,1,14,4
3840215,FR1,2022,273,244,0,1,5,2
3840249,FR1,2022,3524,1147,2,1,12,19
3840255,FR1,2022,273,826,0,1,6,2
3840286,FR1,2022,162,969,0,4,4,12
3840423,FR1,2022,273,1095,4,0,6,19
3844601,ES1,2022,331,2687,2,0,4,19
3844813,IT1,2022,6195,416,3,1,1,9
3844855,IT1,2022,416,5,2,1,8,3
3844903,IT1,2022,380,416,1,1,15,10
3844920,IT1,2022,506,800,3,3,7,6
3844965,IT1,2022,416,2239,2,2,9,20
3845022,IT1,2022,380,46,1,1,15,5
3845041,IT1,2022,5,1005,2,0,3,16
3845047,IT1,2022,2239,276,1,1,19,18
3845050,IT1,2022,1005,410,1,0,16,13
3851100,BE1,2022,1245,3948,1,2,15,6
3851127,BE1,2022,2861,2282,3,0,16,4
3851243,BE1,2022,968,2861,6,0,7,14
3852619,NL1,2022,1283,610,3,3,16,2
3852626,NL1,2022,306,133,2,1,8,17
3852649,NL1,2022,133,468,0,3,18,6
3852675,NL1,2022,1283,385,0,1,16,10
3852679,NL1,2022,306,234,1,2,8,1
3852682,NL1,2022,610,468,4,0,2,6
3852713,NL1,2022,724,1283,3,1,14,16
3852739,NL1,2022,385,202,3,1,12,17
3852743,NL1,2022,133,1283,1,2,18,15
3852803,NL1,2022,202,468,0,5,18,6
3860200,TR1,2022,24245,589,0,1,12,10
3860241,TR1,2022,36,3205,2,0,4,14
3860270,TR1,2022,3205,449,1,2,10,5
3860299,TR1,2022,6646,141,0,2,13,5
3860306,TR1,2022,3205,3840,2,2,8,3
3860340,TR1,2022,36,2381,1,0,1,17
3860376,TR1,2022,3205,36,1,2,7,2
3860392,TR1,2022,2381,6890,1,1,12,5
3860417,TR1,2022,11688,141,0,4,14,1
